GCCode  state    Latitude   Longtitude  FP Name
GC1W582 NotFound 50°48.247N 014°42.504E 20 1938
GC12PNQ NotFound 50°35.612N 015°13.391E 40 #_1_Alvarez_/_Rotštejn
GC12PPX NotFound 50°35.944N 015°12.590E 12 #_2_Alvarez_/_Postojná
GC13AT7 Watchlist 50°35.969N 015°10.013E 24 #_3_Alvarez_/_Opukové_skály
GC13GX5 NotFound 50°32.508N 015°11.220E 78 #_4_Alvarez_/_Ztracená_místa
GC1BFN1 NotFound 50°35.364N 015°08.591E 45 #_6_Alvarez_/_Kameny,_veze_a_cisla
GCZYN5 NotFound 50°29.754N 015°14.035E 10 #6_Reynevan_w_Czechach_/_Mag_Rupilius_Slezak
GC10ET4 NotFound 50°45.986N 015°26.674E 30 #7_Reynevan_w_Czechach_/_pechfogl
GC28P5P NotFound 50°49.346N 015°32.986E 24 #8_Reynevan_w_Czechach_/_pan_z_Bibersteina
GC29NV8 NotFound 50°47.815N 014°42.952E 54 21_-_PRAVA_HORNI_KNOFLIKOVA_DIRKA
GC29PB2 NotFound 50°48.203N 014°41.725E 74 22_-_PRAVA_DOLNI_KNOFLIKOVA_DIRKA 
GC29Q8J NotFound 50°48.040N 014°42.339E 12 23_-_LEVA_DOLNI_KNOFLIKOVA_DIRKA 
GC29NYA NotFound 50°47.254N 014°43.828E 0 24_-_LEVA_HORNI_KNOFLIKOVA_DIRKA 
GC233JA NotFound 50°41.419N 014°32.801E 5 4m
GC1EC51 NotFound 50°38.722N 014°28.262E 45 8._TRC_Fantazie
GC1HKVY NotFound 50°38.992N 014°28.363E 11 Akciový_trh
GC10VHF Watchlist 50°40.987N 014°32.267E 1 Alenka
GC1PJMN Watchlist 50°47.913N 014°57.253E 5 Andelska_Hora
GC2PADT NotFound 50°44.083N 015°10.457E 8 April
GCW8B7 NotFound 50°45.065N 015°05.448E 12 Autem_levne_a_rychle_/_By_Car_-_Low-cost_and_Fast
GC20QHW NotFound 50°45.835N 015°02.802E 48 Autobusak_v_novem_kabate?
GC12A3Q NotFound 50°39.446N 014°32.485E 2 Autodrom_Sosnova
GC1HFDV NotFound 50°36.957N 015°11.361E 54 Az_ten_vlácek_zahouká_-_When_this_train_toot
GC1PGCE NotFound 50°45.678N 014°56.789E 54 BALICEK_KARET
GC1RK5H NotFound 50°45.920N 015°10.499E 44 Barevna_sklicka_/_Colored_pieces_of_glass
GC1PP4H NotFound 50°40.151N 015°10.405E 12 Basen_za_Sifry
GC2N4WY NotFound 50°45.951N 015°04.934E 13 Bila_pastelka
GC2YV06 NotFound 50°39.550N 014°59.456E 174 Blaschkeho_vila
GC19JJH NotFound 50°44.740N 015°17.404E 45 Bobovka
GC118KY NotFound 50°32.169N 015°14.399E 45 Borecke_skaly
GC18X98 NotFound 50°36.439N 015°02.195E 123 Borgský_trojuhelnik
GCKBQ1 NotFound 50°37.154N 014°39.343E 14 BotMC#4:_Suzaku,_Leader_of_the_Beasts
GC1JWW0 NotFound 50°39.815N 015°16.695E 1 Bridlice_/_Shiver 1_-_BONUS
GC1JWW3 NotFound 50°39.963N 015°16.500E 5 Bridlice_/_Shiver 4_-_Jirkov
GC20E7D NotFound 50°42.995N 015°10.500E 55 BT_cache
GC1RYB7 NotFound 50°45.889N 015°19.250E 12 Bullerbyn
GC1NBE5 NotFound 50°32.491N 015°11.058E 78 Burgusuv_balkon
GC2H4WQ NotFound 50°40.346N 015°08.195E 19 Cago_belo_geosilenci_#_1_#
GC2H5D0 NotFound 50°40.062N 015°08.894E 17 Cago_belo_geosilenci_#_3_#
GC2H5D7 NotFound 50°40.573N 015°07.332E 11 Cago_belo geosilenci_#_4_#
GC2H5DR NotFound 50°41.539N 015°08.952E 33 Cago_belo_geosilenci_#_6_#
GC163HA NotFound 50°47.373N 015°03.697E 14 Cache_hrdinu
GC130XJ NotFound 50°43.824N 014°31.985E 85 Cache_pro_Krystofa_HzPaB_aneb_na_pivo_k_Berankum
GCY4CM NotFound 50°32.482N 015°08.059E 15 Caspers_Rock
GC2P2ZM NotFound 50°34.002N 014°41.210E 123 Cela
GC10512 NotFound 50°39.717N 014°30.015E 11 Certovy_schody_/_Devil's_stairs
GC1KY0N NotFound 50°44.081N 015°10.917E 277 CESKA_MINCOVNA_/_THE_CZECH_MINT
GC1130J NotFound 50°38.296N 014°34.236E 11 Ceske_luhy,_lesy,_haje
GC2MFMM NotFound 50°44.288N 015°06.322E 78 cestou_do_pekla
GC26T8V NotFound 50°44.198N 015°08.148E 33 Cimcarara_cim_cim_cim
GCX0TJ NotFound 50°52.191N 015°09.925E 41 Cimrman_Cache
