  GCKod   Latitude  Longtitude                           Name
GC1W582   50°48,247N 14°42,504E     1938                                              
GC12PNQ   50°35,612N 15°13,391E     #_1_Alvarez_/_Rotštejn                            
GC12PPX   50°35,944N 15°12,590E     #_2_Alvarez_/_Postojná                            
GC13AT7   50°35,969N 15°10,013E     #_3_Alvarez_/_Opukové_skály                       
GC13GX5   50°32,508N 15°11,220E     #_4_Alvarez_/_Ztracená_místa                      
GC1BFN1   50°35,364N 15°08,591E     #_6_Alvarez_/_Kameny,_veze_a_cisla                
GCZYN5    50°29,754N 15°14,035E     #6_Reynevan_w_Czechach_/_Mag_Rupilius_Slezak      
GC10ET4   50°45,986N 15°26,674E     #7_Reynevan_w_Czechach_/_pechfogl                 
GC28P5P   50°49,346N 15°32,986E     #8_Reynevan_w_Czechach_/_pan_z_Bibersteina        
GC29NV8   50°47,815N 14°42,952E     21_-_PRAVA_HORNI_KNOFLIKOVA_DIRKA                 
GC29PB2   50°48,203N 14°41,725E     22_-_PRAVA_DOLNI_KNOFLIKOVA_DIRKA                 
GC29Q8J   50°48,040N 14°42,339E     23_-_LEVA_DOLNI_KNOFLIKOVA_DIRKA                  
GC29NYA   50°47,254N 14°43,828E     24_-_LEVA_HORNI_KNOFLIKOVA_DIRKA                  
GC233JA   50°41,419N 14°32,801E     4m                                                
GC1EC51   50°38,722N 14°28,262E     8._TRC_Fantazie                                   
GC1HKVY   50°38,992N 14°28,363E     Akciový_trh                                       
GC10VHF   50°40,987N 14°32,267E     Alenka                                            
GC1PJMN   50°47,913N 14°57,253E     Andelska_Hora                                     
GC2PADT   50°44,083N 15°10,457E     April                                             
GCW8B7    50°45,065N 15°05,448E     Autem_levne_a_rychle_/_By_Car_-_Low-cost_and_Fast 
GC20QHW   50°45,835N 15°02,802E     Autobusak_v_novem_kabate?                         
GC12A3Q   50°39,446N 14°32,485E     Autodrom_Sosnova                                  
GC1HFDV   50°36,957N 15°11,361E     Az_ten_vlácek_zahouká_-_When_this_train_toot      
GC1PGCE   50°45,678N 14°56,789E     BALICEK_KARET                                     
GC1RK5H   50°45,920N 15°10,499E     Barevna_sklicka_/_Colored_pieces_of_glass         
GC1PP4H   50°40,151N 15°10,405E     Basen_za_Sifry                                    
GC2N4WY   50°45,951N 15°04,934E     Bila_pastelka                                     
GC2YV06   50°39,550N 14°59,456E     Blaschkeho_vila                                   
GC19JJH   50°44,740N 15°17,404E     Bobovka                                           
GC118KY   50°32,169N 15°14,399E     Borecke_skaly                                     
GC18X98   50°36,439N 15°02,195E     Borgský_trojuhelnik                               
GCKBQ1    50°37,154N 14°39,343E     BotMC#4:_Suzaku,_Leader_of_the_Beasts             
GC1JWW0   50°39,815N 15°16,695E     Bridlice_/_Shiver                                 
GC1JWW3   50°39,963N 15°16,500E     Bridlice_/_Shiver                                 
GC20E7D   50°42,995N 15°10,500E     BT_cache                                          
GC1RYB7   50°45,889N 15°19,250E     Bullerbyn                                         
GC1NBE5   50°32,491N 15°11,058E     Burgusuv_balkon                                   
GC2H4WQ   50°40,346N 15°08,195E     Cago_belo_geosilenci_#_1_#                        
GC2H5D0   50°40,062N 15°08,894E     Cago_belo_geosilenci_#_3_#                        
GC2H5D7   50°40,573N 15°07,332E     Cago_belo                                         
GC2H5DR   50°41,539N 15°08,952E     Cago_belo_geosilenci_#_6_#                        
GC163HA   50°47,373N 15°03,697E     Cache_hrdinu                                      
GC130XJ   50°43,824N 14°31,985E     Cache_pro_Krystofa_HzPaB_aneb_na_pivo_k_Berankum  
GCY4CM    50°32,482N 15°08,059E     Caspers_Rock                                      
GC2P2ZM   50°34,002N 14°41,210E     Cela                                              
GC10512   50°39,717N 14°30,015E     Certovy_schody_/_Devil's_stairs                   
GC1KY0N   50°44,081N 15°10,917E     CESKA_MINCOVNA_/_THE_CZECH_MINT                   
GC1130J   50°38,296N 14°34,236E     Ceske_luhy,_lesy,_haje                            
GC2MFMM   50°44,288N 15°06,322E     cestou_do_pekla                                   
GC26T8V   50°44,198N 15°08,148E     Cimcarara_cim_cim_cim                             
GCX0TJ    50°52,191N 15°09,925E     Cimrman_Cache                                     
GC1A11D   50°36,921N 15°21,738E     Cimrmanova_nejnižší_rozhledna_na_svete            
GC1JVA9   50°44,532N 15°20,192E     Cimrmanova_vyhlidka                               
GC19Z6V   50°43,986N 15°11,858E     Cisarska_lipa                                     
GCX515    50°42,780N 15°06,236E     Cisarsky_kamen_-_Vesecky_okruh_#2                 
GC2T28P   50°50,615N 15°04,043E     CITO_Eventova_cache                               
GC2MQ7H   50°45,818N 14°32,405E     Crystalex                                         
GC2JX10   50°41,055N 14°32,368E     Cupitani_Ceskolipskem                             
GC26QAX   50°48,154N 14°27,464E     CyberKill                                         
GC27X5F   50°47,565N 14°28,389E     CyberKill_III._aneb_Lost_in_Code                  
GC29086   50°46,841N 14°28,180E     CyberKill_IV._aneb_Frog's_Trip                    
GC2E648   50°41,571N 14°51,268E     CyberKill_V._aneb_Anytime_Anyplace                
GC2PPHP   50°43,648N 14°52,054E     CyberKill_VI._aneb_U                              
GC3A5FJ   50°42,987N 15°09,775E     Čak_Norris                                        
GC2G85C   50°42,431N 15°10,632E     Delnicky_dum_Vrkoslavice                          
GC267T0   50°45,631N 15°25,882E     DELTA                                             
GC1ZD9Q   50°45,774N 15°18,984E     Desenske_sklarny                                  
GC20A9T   50°38,889N 14°28,567E     Desetinny_doplnek                                 
GC35R1Q   50°32,352N 15°02,401E     Detska_kes_Lomnice_nad_Popelkou                   
GC189GQ   50°43,536N 15°09,947E     Divadlo_Jablonec_n.N.                             
GC1TVKJ   50°36,103N 14°22,933E     Divej_se,_aneb_toulky_okolim_Usteka               
GC1HRTG   50°35,762N 15°09,623E     Dog´s_joy_I._-_Kynologicka                        
GC1HRY8   50°35,464N 15°10,670E     Dog´s_joy_III._-_Cestou                           
GC1HT0E   50°35,819N 15°09,753E     Dog´s_joy_IV._-_Bozi                              
GC1ND05   50°35,272N 15°10,345E     Dog´s_joy_VI._-_Struhy                            
GC2JA4H   50°34,688N 15°09,633E     Dog´s_joy_II._-_Sadova                            
GC1JMDB   50°36,027N 15°10,745E     Dog´s_joy_VII._-_Zrcadlova                        
GC11Z16   50°32,983N 15°11,593E     Drací_skály                                       
GC29CH6   50°41,701N 15°26,293E     Dub_letni_-_Zatoulalo_se_mi_díte                  
GC24GC5   50°41,338N 15°09,326E     Dub_v_Jestedske_ulici                             
GC1KKQV   50°44,269N 15°09,854E     Dub_ve_Msene                                      
GC2WZTY   50°39,315N 14°32,106E     DZOSEROVA_STUPNOVITA_PYRAMIDA                     
GC270CB   50°46,283N 15°05,866E     English_Puzzles                                   
GC14NTF   50°50,343N 14°35,190E     EOWYN                                             
GC2M2TE   50°35,688N 15°09,706E     Eventova                                          
GC1F3EG   50°43,839N 15°11,880E     Fiedlerova_vysina                                 
GC1B2BD   50°55,097N 15°04,744E     Frydlantska_prochazka_v.2                         
GCXFXV    50°45,699N 14°54,874E     Fsichni_svati                                     
GC1078A   50°50,379N 14°34,788E     GALADRIEL                                         
GC1VHPH   50°48,423N 15°00,401E     Garfield                                          
GC214RN   50°48,094N 14°43,060E     Garry_hraje_golf                                  
GC38QKV   50°42,022N 15°14,342E     Geohashing                                        
GC1087N   50°39,771N 14°32,061E     GOL                                               
GC1MGDA   50°41,369N 14°32,335E     GOL-CH1                                           
GC11AJD   50°41,175N 14°56,828E     GOL-KL                                            
GC10ZBY   50°37,522N 14°31,737E     GOL-PP                                            
GC113TF   50°42,917N 14°50,963E     GOL-PP1                                           
GC118ET   50°42,148N 14°55,813E     GOL-PP2                                           
GC11AJV   50°40,381N 14°56,695E     GOL-PP3                                           
